Однокональная СМО 
 Входные данные 

Клиентов за час =  10
Время на обслуживание (интенсивность обслуживания) = 5
Интенсивность поступления =  6.0
Ограничение посетителей = 100
 вариант Г
 Ограничение по времени 10 часов
Ограничение по времени (мин) =  600
Пcледний клиент по времени =  96
  № клиента    Время поступ    Время обслуживания    Т кумулятив    Начало обслуживания    конец обслуживания    время в сист    время в очереди    № осбл. покуп    Длинна очереди    Время простоя
         75           4.988                 1.679        488.179               531.863               533.541           45.362             43.684               66                 8            0
         76           3.396                 2.694        491.575               533.541               536.236           44.661             41.966               66                 9            0
         77           8.441                 0.791        500.016               536.236               537.027           37.011             36.22                67                 9            0
         78           6.648                 8.63         506.664               537.027               545.657           38.993             30.363               69                 8            0
         79           6.896                 0.744        513.56                545.657               546.401           32.841             32.097               70                 8            0
         80           6.586                11.34         520.146               546.401               557.741           37.595             26.255               71                 8            0
         81           1.178                10.876        521.324               557.741               568.617           47.293             36.417               71                 9            0
         82           1.207                 3.211        522.531               568.617               571.829           49.298             46.086               72                 9            0
         83           1.198                 4.962        523.729               571.829               576.791           53.062             48.1                 72                10            0
         84           2.106                17.422        525.835               576.791               594.213           68.378             50.956               73                10            0
         85           3.599                11.355        529.434               594.213               605.568           76.134             64.779               73                11            0
         86           0.358                 3.523        529.792               605.568               609.091           79.299             75.776               73                12            0
         87           0.287                 1.756        530.079               609.091               610.847           80.768             79.012               73                13            0
         88           4.517                 0.819        534.596               610.847               611.665           77.069             76.251               76                11            0
         89           9.95                  1.09         544.546               611.665               612.756           68.21              67.119               78                10            0
         90           1.941                 0.142        546.487               612.756               612.898           66.411             66.269               80                 9            0
         91           0.007                 3.489        546.494               612.898               616.387           69.893             66.404               80                10            0
         92           5.212                 0.721        551.706               616.387               617.108           65.402             64.681               80                11            0
         93           1.354                 4.708        553.06                617.108               621.816           68.756             64.048               80                12            0
         94           3.831                 5.917        556.891               621.816               627.733           70.842             64.925               80                13            0
         95           3.965                 7.009        560.856               627.733               634.742           73.886             66.877               81                13            0
         96           7.809                 0.672        568.665               634.742               635.414           66.749             66.077               82                13            0
Выходные данные :
Клиентов за час =  10
Время на обслуживание (интенсивность обслуживания) = 5
Интенсивность поступления =  6.0

 Основные параметры системы 

Коэфициент загружености продавца =  0.634
Средняя длинна очереди =  3.573
Среднее время ожидания в очереди =  22.025
Максимальная длинна в очереди =  13
Среднее время пребывания заявок в системе =  27.202
