Однокональная СМО 

  № клиента    Время поступ    Время обслуживания    Т кумулятив    Начало обслуживания    конец обслуживания    время в сист    время в очереди    № осбл. покуп    Длинна очереди    Время простоя
         78           2.081                23.478        484.451               495.616               519.094           34.643             11.165               77                 0            0
         79          10.489                 0.816        494.94                519.094               519.91            24.97              24.154               77                 1            0
         80           5.294                 1.885        500.234               519.91                521.795           21.561             19.676               78                 1            0
         81           3.117                 1.204        503.351               521.795               522.998           19.647             18.444               78                 2            0
         82          12.627                 2.002        515.978               522.998               525                9.022              7.02                78                 3            0
         83           9.05                  1.921        525.028               525.028               526.949            1.921              0                   82                 0            2.03
         84          12.803                 3.441        537.831               537.831               541.272            3.441              0                   83                 0           12.803
         85          12.229                 5.026        550.06                550.06                555.086            5.026              0                   84                 0           12.229
         86           4.528                 4.47         554.588               555.086               559.556            4.968              0.498               85                 0            0
         87           0.888                 3.092        555.476               559.556               562.648            7.172              4.08                86                 0            0
         88           2.863                 1.062        558.339               562.648               563.71             5.371              4.309               86                 1            0
         89           2.049                 0.633        560.388               563.71                564.343            3.955              3.322               87                 1            0
         90           0.613                 0.117        561.001               564.343               564.46             3.459              3.342               87                 2            0
         91           0.305                 0.534        561.306               564.46                564.994            3.688              3.154               87                 3            0
         92          11.174                 0.139        572.48                572.48                572.619            0.139              0                   91                 0            8.02
         93           4.302                 8.653        576.782               576.782               585.435            8.653              0                   92                 0            4.302
         94           0.838                 2.804        577.62                585.435               588.239           10.619              7.815               93                 0            0
         95           7.828                 8.457        585.448               588.239               596.696           11.248              2.791               94                 0            0
         96           2.615                 2.432        588.063               596.696               599.128           11.065              8.633               94                 1            0
         97           7.957                 3.316        596.02                599.128               602.444            6.424              3.108               95                 1            0
         98           0.409                 4.073        596.429               602.444               606.516           10.087              6.015               95                 2            0
         99           2.987                 2.879        599.416               606.516               609.395            9.979              7.1                 97                 1            0
        100           0.341                 6.651        599.757               609.395               616.047           16.29               9.638               97                 2            0

 Основные параметры системы 

Коэфициент загружености продавца =  0.741
Средняя длинна очереди =  2.43
Среднее время ожидания в очереди =  16.353
Максимальная длинна в очереди =  9
Среднее время пребывания заявок в системе =  21.406
