
Клиентов за час =  10
Время на обслуживание (интенсивность обслуживания) = 5
Интенсивность поступления =  6.0
Ограничение посетителей = 100
 вариант B
1000 клиентов ограничение 

  № клиента    Время поступ    Время обслуживания    Т кумулятив    Начало обслуживания    конец обслуживания    время в сист    время в очереди    № осбл. покуп    Длинна очереди    Время простоя
        238           6.842                 4.409       1299.28               1312.27               1316.68            17.403             12.994              234                 3            0
        239           0.174                 4.733       1299.45               1316.68               1321.41            21.963             17.229              234                 4            0
        240           9.244                24.582       1308.69               1321.41               1346               37.301             12.719              236                 3            0
        241           0.136                 1.637       1308.83               1346                  1347.63            38.802             37.165              236                 4            0
        242           8.788                 0.57        1317.62               1347.63               1348.2             30.585             30.014              239                 2            0
        243           0.072                 1.869       1317.69               1348.2                1350.07            32.382             30.513              239                 3            0
        244          12.104                 1.638       1329.8                1350.07               1351.71            21.915             20.278              240                 3            0
        245           1.298                 1.351       1331.09               1351.71               1353.06            21.968             20.617              240                 4            0
        246          11.66                  0.031       1342.75               1353.06               1353.09            10.339             10.308              240                 5            0
        247           2.189                 0.396       1344.94               1353.09               1353.49             8.546              8.15               240                 6            0
        248           7.962                 0.011       1352.9                1353.49               1353.5              0.595              0.584              245                 2            0
        249           1.41                  1.09        1354.31               1354.31               1355.4              1.09               0                  248                 0            0.826
        250           3.739                 0.308       1358.05               1358.05               1358.36             0.308              0                  249                 0            3.739
        251           0.003                 3.099       1358.06               1358.36               1361.46             3.404              0.305              250                 0            0
        252           4.208                 0.283       1362.26               1362.26               1362.55             0.283              0                  251                 0            3.903
        253           7.457                 9.124       1369.72               1369.72               1378.85             9.124              0                  252                 0            7.457
        254           2.69                 20.222       1372.41               1378.85               1399.07            26.656              6.434              253                 0            0
        255           5.953                 9.541       1378.36               1399.07               1408.61            30.244             20.703              253                 1            0
        256           4.189                 7.738       1382.55               1408.61               1416.35            33.793             26.055              254                 1            0
        257           8.687                 4.654       1391.24               1416.35               1421               29.76              25.106              254                 2            0
        258           8.326                 8.664       1399.57               1421                  1429.66            30.098             21.434              255                 2            0
        259           0.089                 5.539       1399.65               1429.66               1435.2             35.548             30.009              255                 3            0
        260           5.111                 0.115       1404.77               1435.2                1435.32            30.552             30.437              255                 4            0
        261           1.181                 5.417       1405.95               1435.32               1440.74            34.788             29.371              255                 5            0
        262           6.745                 4.385       1412.69               1440.74               1445.12            32.428             28.043              256                 5            0
        263           2.277                 3.504       1414.97               1445.12               1448.62            33.655             30.151              256                 6            0
        264           1.445                11.026       1416.41               1448.62               1459.65            43.236             32.21               257                 6            0
        265           1.014                 1.143       1417.43               1459.65               1460.79            43.365             42.222              257                 7            0
        266           7.718                13.498       1425.15               1460.79               1474.29            49.145             35.647              258                 7            0
        267           6.709                 6.5         1431.86               1474.29               1480.79            48.936             42.436              259                 7            0
        268           1.214                 1.567       1433.07               1480.79               1482.36            49.289             47.722              259                 8            0
        269           5.653                 8.143       1438.72               1482.36               1490.5             51.779             43.636              261                 7            0
        270           7.516                 0.724       1446.24               1490.5                1491.22            44.986             44.263              263                 6            0
        271           0.322                 1.434       1446.56               1491.22               1492.66            46.099             44.664              263                 7            0
        272           2.458                13.498       1449.02               1492.66               1506.16            57.138             43.641              264                 7            0
        273           3.431                 8.042       1452.45               1506.16               1514.2             61.749             53.707              264                 8            0
        274           8.214                 0.69        1460.66               1514.2                1514.89            54.225             53.535              265                 8            0
        275          16.945                11.624       1477.61               1514.89               1526.51            48.904             37.28               267                 7            0
        276          15.718                 4.295       1493.33               1526.51               1530.81            37.482             33.186              272                 3            0
        277           4.158                 3.562       1497.48               1530.81               1534.37            36.886             33.324              272                 4            0
        278           2.415                 0.622       1499.9                1534.37               1534.99            35.093             34.471              272                 5            0
        279           5.731                 5.025       1505.63               1534.99               1540.02            34.387             29.362              272                 6            0
        280           1.73                  3.491       1507.36               1540.02               1543.51            36.148             32.657              273                 6            0
        281           0.46                  2.671       1507.82               1543.51               1546.18            38.36              35.688              273                 7            0
        282           6.642                 9.025       1514.46               1546.18               1555.2             40.742             31.718              274                 7            0
        283           4.362                13.852       1518.82               1555.2                1569.06            50.233             36.38               275                 7            0
        284           0.101                 3.066       1518.92               1569.06               1572.12            53.198             50.132              275                 8            0
        285          15.746                 5.942       1534.67               1572.12               1578.07            43.394             37.452              278                 6            0
        286          22.097                11.922       1556.77               1578.07               1589.99            33.219             21.297              283                 2            0
        287           7.197                 1.895       1563.96               1589.99               1591.88            27.917             26.022              283                 3            0
        288           4.274                 2.246       1568.24               1591.88               1594.13            25.889             23.643              283                 4            0
        289          12.583                 8.935       1580.82               1594.13               1603.06            22.241             13.306              286                 2            0
        290           6.966                 0.596       1587.79               1603.06               1603.66            15.871             15.275              286                 3            0
        291           1.566                 8.522       1589.35               1603.66               1612.18            22.827             14.305              286                 4            0
        292          10.912                 2.516       1600.27               1612.18               1614.7             14.431             11.915              289                 2            0
        293          16.568                 5.815       1616.83               1616.83               1622.65             5.815              0                  292                 0            4.653
        294           1.695                 3.794       1618.53               1622.65               1626.44             7.914              4.12               293                 0            0
        295           0.782                 8.423       1619.31               1626.44               1634.87            15.554              7.132              293                 1            0
        296          11.937                 2.17        1631.25               1634.87               1637.04             5.788              3.617              295                 0            0
        297          18.128                 8.332       1649.38               1649.38               1657.71             8.332              0                  296                 0           14.511
        298           3.218                 7.796       1652.59               1657.71               1665.5             12.91               5.114              297                 0            0
        299          14.277                 1.576       1666.87               1666.87               1668.45             1.576              0                  298                 0            9.163
        300          13.913                 0.888       1680.78               1680.78               1681.67             0.888              0                  299                 0           13.913
        301           1.424                 7.088       1682.21               1682.21               1689.3              7.088              0                  300                 0            1.424
        302           1.178                 1.021       1683.39               1689.3                1690.32             6.931              5.91               301                 0            0
        303           6.493                 4.147       1689.88               1690.32               1694.46             4.584              0.438              302                 0            0
        304           1.803                 1.849       1691.68               1694.46               1696.31             4.63               2.781              303                 0            0
        305           1.196                 3.028       1692.88               1696.31               1699.34             6.462              3.434              303                 1            0
        306           2.65                  7.326       1695.53               1699.34               1706.67            11.138              3.812              304                 1            0
        307           3.486                 1.629       1699.01               1706.67               1708.29             9.281              7.652              305                 1            0
        308           2.318                 1.902       1701.33               1708.29               1710.2              8.865              6.963              306                 1            0
        309           2.393                 8.426       1703.72               1710.2                1718.62            14.898              6.472              306                 2            0
        310           2.786                 1.84        1706.51               1718.62               1720.46            13.952             12.112              306                 3            0
        311           7.73                 12.002       1714.24               1720.46               1732.47            18.225              6.222              309                 1            0
        312           0.409                 3.731       1714.65               1732.47               1736.2             21.546             17.816              309                 2            0
        313           0.25                  0.309       1714.9                1736.2                1736.51            21.605             21.296              309                 3            0
        314           1.378                 0.456       1716.28               1736.51               1736.96            20.683             20.227              309                 4            0
        315           2.087                 0.896       1718.37               1736.96               1737.86            19.492             18.596              309                 5            0
        316           9.855                14.253       1728.22               1737.86               1752.11            23.89               9.637              311                 4            0
        317           5.508                 4.66        1733.73               1752.11               1756.77            23.042             18.382              312                 4            0
        318           4.875                10.284       1738.6                1756.77               1767.05            28.45              18.167              316                 1            0
        319           7.959                 2.971       1746.56               1767.05               1770.02            23.462             20.491              316                 2            0
        320           1.415                17.697       1747.98               1770.02               1787.72            39.744             22.047              316                 3            0
        321           0.772                 0.631       1748.75               1787.72               1788.35            39.603             38.972              316                 4            0
        322           1.839                 1.131       1750.59               1788.35               1789.48            38.895             37.764              316                 5            0
        323          12.234                15.467       1762.82               1789.48               1804.95            42.128             26.661              318                 4            0
        324          21.855                10.728       1784.68               1804.95               1815.68            31.001             20.273              320                 3            0
        325           8.444                 4.983       1793.12               1815.68               1820.66            27.541             22.557              323                 1            0
        326           4.343                 7.691       1797.46               1820.66               1828.35            30.889             23.198              323                 2            0
        327           3.803                12.205       1801.27               1828.35               1840.56            39.29              27.086              323                 3            0
        328           0.113                 0.181       1801.38               1840.56               1840.74            39.358             39.177              323                 4            0
        329           0.007                 9.643       1801.39               1840.74               1850.38            48.995             39.351              323                 5            0
        330           3.51                  3.087       1804.9                1850.38               1853.47            48.572             45.485              323                 6            0
        331           0.162                 1.253       1805.06               1853.47               1854.72            49.664             48.41               324                 6            0
        332           0.43                  1.434       1805.49               1854.72               1856.16            50.668             49.234              324                 7            0
        333           3.771                 1.38        1809.26               1856.16               1857.54            48.277             46.897              324                 8            0
        334           5.156                 4.953       1814.42               1857.54               1862.49            48.074             43.121              324                 9            0
        335           3.137                 9.262       1817.55               1862.49               1871.75            54.199             44.937              325                 9            0
        336          14.609                 2.362       1832.16               1871.75               1874.11            41.952             39.59               327                 8            0
        337          10.108                 5.436       1842.27               1874.11               1879.55            37.28              31.844              329                 7            0
        338           7.554                 1.864       1849.82               1879.55               1881.41            31.59              29.726              329                 8            0
        339           8.309                 4.055       1858.13               1881.41               1885.47            27.335             23.281              334                 4            0
        340           1.643                 1.495       1859.78               1885.47               1886.96            27.188             25.692              334                 5            0
        341           0.415                 3.971       1860.19               1886.96               1890.94            30.744             26.773              334                 6            0
        342           2.359                10.684       1862.55               1890.94               1901.62            39.069             28.385              335                 6            0
        343           1.49                  9.853       1864.04               1901.62               1911.47            47.432             37.579              335                 7            0
        344           8.755                 6.161       1872.8                1911.47               1917.63            44.837             38.677              336                 7            0
        345           3.405                 2.694       1876.2                1917.63               1920.33            44.126             41.432              337                 7            0
        346          18.298                 2.757       1894.5                1920.33               1923.08            28.585             25.828              342                 3            0
        347          20.987                18.622       1915.48               1923.08               1941.71            26.22               7.598              344                 2            0
        348          22.13                  5.585       1937.62               1941.71               1947.29             9.675              4.09               347                 0            0
        349           3.099                 5.429       1940.71               1947.29               1952.72            12.005              6.576              347                 1            0
        350          18.241                 0.288       1958.95               1958.95               1959.24             0.288              0                  349                 0           11.665
        351           7.338                 3.35        1966.29               1966.29               1969.64             3.35               0                  350                 0            7.338
        352           7.044                 0.504       1973.34               1973.34               1973.84             0.504              0                  351                 0            7.044
        353           1.064                 4.341       1974.4                1974.4                1978.74             4.341              0                  352                 0            1.064
        354           2.588                 4.544       1976.99               1978.74               1983.29             6.297              1.753              353                 0            0
        355           6.172                 4.445       1983.16               1983.29               1987.73             4.57               0.125              354                 0            0
        356          11.243                 1.912       1994.4                1994.4                1996.32             1.912              0                  355                 0           11.118
        357           9.129                 3.676       2003.53               2003.53               2007.21             3.676              0                  356                 0            9.129
        358           1.495                 7.217       2005.03               2007.21               2014.43             9.398              2.181              357                 0            0
        359           9.807                 4.037       2014.84               2014.84               2018.87             4.037              0                  358                 0            7.626
        360           8.973                 3.844       2023.81               2023.81               2027.65             3.844              0                  359                 0            8.973
        361           2.422                 1.759       2026.23               2027.65               2029.41             3.181              1.422              360                 0            0
        362           0.156                 2.11        2026.39               2029.41               2031.52             5.135              3.025              360                 1            0
        363          11.413                 4.978       2037.8                2037.8                2042.78             4.978              0                  362                 0            8.388
        364           0.844                 3.071       2038.64               2042.78               2045.85             7.205              4.134              363                 0            0
        365          10.72                  0.602       2049.36               2049.36               2049.97             0.602              0                  364                 0            6.586
        366           4.546                 5.721       2053.91               2053.91               2059.63             5.721              0                  365                 0            4.546
        367           2.159                 2.486       2056.07               2059.63               2062.12             6.048              3.562              366                 0            0
        368           8.354                 4.067       2064.42               2064.42               2068.49             4.067              0                  367                 0            4.792
        369           8.766                 1.374       2073.19               2073.19               2074.56             1.374              0                  368                 0            8.766
        370           2.874                 6.421       2076.06               2076.06               2082.48             6.421              0                  369                 0            2.874
        371          26.565                 1.008       2102.63               2102.63               2103.64             1.008              0                  370                 0           26.565
        372           5.464                 0.444       2108.09               2108.09               2108.53             0.444              0                  371                 0            5.464
        373           6.556                 5.95        2114.65               2114.65               2120.6              5.95               0                  372                 0            6.556
        374           4.901                 5.061       2119.55               2120.6                2125.66             6.11               1.049              373                 0            0
        375           0.108                14.546       2119.66               2125.66               2140.2             20.548              6.002              373                 1            0
        376           9.198                 4.067       2128.85               2140.2                2144.27            15.417             11.35               375                 0            0
        377           4.801                 5.083       2133.66               2144.27               2149.35            15.699             10.616              375                 1            0
        378           0.697                 3.857       2134.35               2149.35               2153.21            18.859             15.002              375                 2            0
        379          13.337                 0.944       2147.69               2153.21               2154.15             6.466              5.522              377                 1            0
        380           5.906                 7.299       2153.59               2154.15               2161.45             7.858              0.56               379                 0            0
        381           4.744                10.879       2158.34               2161.45               2172.33            13.994              3.114              380                 0            0
        382          13.315                 1.03        2171.65               2172.33               2173.36             1.709              0.679              381                 0            0
        383           0.538                 5.423       2172.19               2173.36               2178.79             6.594              1.171              381                 1            0
        384          16.639                 7.01        2188.83               2188.83               2195.84             7.01               0                  383                 0           15.468
        385          30.241                 5.56        2219.07               2219.07               2224.63             5.56               0                  384                 0           30.241
        386           5.307                 3.705       2224.38               2224.63               2228.34             3.958              0.253              385                 0            0
        387           7.814                 1.945       2232.19               2232.19               2234.14             1.945              0                  386                 0            7.561
        388           1.796                12.972       2233.99               2234.14               2247.11            13.121              0.149              387                 0            0
        389           1.061                 2.985       2235.05               2247.11               2250.1             15.045             12.06               388                 0            0
        390           1.821                 1.652       2236.87               2250.1                2251.75            14.877             13.224              388                 1            0
        391           7.314                 9.908       2244.18               2251.75               2261.66            17.471              7.563              388                 2            0
        392           0.936                12.237       2245.12               2261.66               2273.89            28.772             16.535              388                 3            0
        393           1.034                 2.855       2246.16               2273.89               2276.75            30.593             27.738              388                 4            0
        394          14.88                  1.271       2261.03               2276.75               2278.02            16.984             15.713              391                 2            0
        395           4.715                24.915       2265.75               2278.02               2302.93            37.184             12.269              392                 2            0
        396           1.073                 0.213       2266.82               2302.93               2303.15            36.323             36.111              392                 3            0
        397           3.876                13.921       2270.7                2303.15               2317.07            46.368             32.447              392                 4            0
        398           2.966                 9.158       2273.66               2317.07               2326.23            52.561             43.402              392                 5            0
        399          10.879                 0.242       2284.54               2326.23               2326.47            41.924             41.682              395                 3            0
        400           3.628                 0.675       2288.17               2326.47               2327.14            38.971             38.296              395                 4            0
        401           3.664                 6.398       2291.84               2327.14               2333.54            41.706             35.307              395                 5            0
        402           6.589                 3.493       2298.43               2333.54               2337.03            38.61              35.117              395                 6            0
        403           0.081                 0.537       2298.51               2337.03               2337.57            39.066             38.529              395                 7            0
        404           7.554                 1.989       2306.06               2337.57               2339.56            33.5               31.512              397                 6            0
        405           8.631                 0.265       2314.69               2339.56               2339.83            25.135             24.869              397                 7            0
        406          19.598                11.565       2334.29               2339.83               2351.39            17.101              5.537              402                 3            0
        407           3.344                 1.942       2337.63               2351.39               2353.33            15.699             13.757              404                 2            0
        408          10.974                 4.849       2348.61               2353.33               2358.18             9.574              4.725              406                 1            0
        409           1.626                 3.94        2350.23               2358.18               2362.12            11.888              7.948              406                 2            0
        410           0.18                  1.231       2350.41               2362.12               2363.35            12.939             11.708              406                 3            0
        411          14.689                 3.123       2365.1                2365.1                2368.22             3.123              0                  410                 0            2.981
        412           5.572                 3.227       2370.67               2370.67               2373.9              3.227              0                  411                 0            5.572
        413          16.323                 2.84        2387                  2387                  2389.84             2.84               0                  412                 0           16.323
        414           1.307                16.419       2388.3                2389.84               2406.26            17.952              1.533              413                 0            0
        415           0.357                 2.997       2388.66               2406.26               2409.25            20.592             17.595              413                 1            0
        416          12.129                 2.293       2400.79               2409.25               2411.55            10.755              8.463              414                 1            0
        417           0.243                12.657       2401.03               2411.55               2424.2             23.17              10.512              414                 2            0
        418           1.52                  1.19        2402.55               2424.2                2425.39            22.84              21.65               414                 3            0
        419           3.403                 3.735       2405.96               2425.39               2429.13            23.172             19.437              414                 4            0
        420          11.766                 8.739       2417.72               2429.13               2437.87            20.145             11.406              417                 2            0
        421           0.585                 1.975       2418.31               2437.87               2439.84            21.536             19.56               417                 3            0
        422           9.739                 0.357       2428.05               2439.84               2440.2             12.154             11.797              419                 2            0
        423           1.08                  1.804       2429.13               2440.2                2442               12.877             11.074              419                 3            0
        424           0.007                 7.153       2429.13               2442                  2449.16            20.023             12.87               420                 3            0
        425           4.932                 1.637       2434.07               2449.16               2450.79            16.729             15.091              420                 4            0
        426           0.558                 4.677       2434.62               2450.79               2455.47            20.848             16.171              420                 5            0
        427           3.924                 1.916       2438.55               2455.47               2457.39            18.84              16.924              421                 5            0
        428           8.596                 0.437       2447.14               2457.39               2457.82            10.681             10.244              424                 3            0
        429           1.252                 3.538       2448.39               2457.82               2461.36            12.967              9.429              424                 4            0
        430           0.901                 5.612       2449.3                2461.36               2466.97            17.678             12.066              425                 4            0
        431          11.899                 0.283       2461.2                2466.97               2467.26             6.062              5.779              429                 1            0
        432           3.257                 2.552       2464.45               2467.26               2469.81             5.357              2.805              430                 1            0
        433          20.213                 3.249       2484.66               2484.66               2487.91             3.249              0                  432                 0           17.408
        434          14.291                 0.119       2498.96               2498.96               2499.07             0.119              0                  433                 0           14.291
        435           4.417                 4.77        2503.37               2503.37               2508.14             4.77               0                  434                 0            4.417
        436           0.358                 3.416       2503.73               2508.14               2511.56             7.828              4.412              435                 0            0
        437           5.741                 2.332       2509.47               2511.56               2513.89             4.419              2.087              436                 0            0
        438           0.818                 4.148       2510.29               2513.89               2518.04             7.75               3.601              436                 1            0
        439           3.758                 2.96        2514.05               2518.04               2521                6.952              3.992              438                 0            0
        440           0.489                11.4         2514.54               2521                  2532.4             17.862              6.463              438                 1            0
        441           6.877                14.899       2521.41               2532.4                2547.3             25.885             10.985              440                 0            0
        442          13.734                 1.927       2535.15               2547.3                2549.23            14.077             12.151              441                 0            0
        443           0.123                 2.62        2535.27               2549.23               2551.84            16.574             13.954              441                 1            0
        444           2.904                14.001       2538.18               2551.84               2565.85            27.671             13.67               441                 2            0
        445           3.809                 3.469       2541.98               2565.85               2569.31            27.331             23.862              441                 3            0
        446           8.623                 0.801       2550.61               2569.31               2570.12            19.509             18.708              443                 2            0
        447          11.137                 1.48        2561.74               2570.12               2571.6              9.853              8.372              444                 2            0
        448           4.814                 0.251       2566.56               2571.6                2571.85             5.29               5.039              445                 2            0
        449           0.068                 0.015       2566.63               2571.85               2571.86             5.237              5.222              445                 3            0
        450           1.183                 5.624       2567.81               2571.86               2577.49             9.677              4.054              445                 4            0
        451          10.53                  3.15        2578.34               2578.34               2581.49             3.15               0                  450                 0            6.476
        452           8.792                 0.495       2587.13               2587.13               2587.63             0.495              0                  451                 0            8.792
        453          10.981                11.392       2598.11               2598.11               2609.5             11.392              0                  452                 0           10.981
        454           3.101                 9.566       2601.21               2609.5                2619.07            17.857              8.291              453                 0            0
        455           8.628                 0.606       2609.84               2619.07               2619.68             9.835              9.229              454                 0            0
        456           1.54                  5.934       2611.38               2619.68               2625.61            14.229              8.295              454                 1            0
        457           0.294                 2.081       2611.68               2625.61               2627.69            16.016             13.935              454                 2            0
        458           4.542                 9.685       2616.22               2627.69               2637.38            21.16              11.474              454                 3            0
        459           3.881                 7.57        2620.1                2637.38               2644.95            24.849             17.279              456                 2            0
        460           1.875                11.743       2621.97               2644.95               2656.69            34.717             22.974              456                 3            0
        461          26.377                 2.95        2648.35               2656.69               2659.64            11.29               8.34               460                 0            0
        462           9.416                13.705       2657.77               2659.64               2673.34            15.579              1.874              461                 0            0
        463           0.85                  5.231       2658.62               2673.34               2678.58            19.959             14.729              461                 1            0
        464           9.074                 0.477       2667.69               2678.58               2679.05            11.362             10.885              462                 1            0
        465           2.188                 3.16        2669.88               2679.05               2682.21            12.334              9.174              462                 2            0
        466          18.911                 1.685       2688.79               2688.79               2690.47             1.685              0                  465                 0            9.737
        467           1.424                 3.255       2690.21               2690.47               2693.73             3.516              0.261              466                 0            0
        468           9.962                 4.741       2700.18               2700.18               2704.92             4.741              0                  467                 0            9.701
        469           2.103                17.968       2702.28               2704.92               2722.88            20.606              2.638              468                 0            0
        470           4.408                 6.367       2706.69               2722.88               2729.25            22.565             16.198              469                 0            0
